,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09,taxonomy
Otu4615,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Lecanoromycetes
Otu5668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Sordariomycetes
Otu1278,0,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,1,1,Eukaryota;Fungi;Ascomycota;Sordariomycetes;Hypocreales
Otu3387,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Lophiostomataceae
Otu476,10,1,2,1,0,1,1,0,50,4,0,0,1,0,0,0,3,0,3,35,0,0,93,0,1,1,1,277,2,3,0,0,0,1,219,0,2,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Pezizomycetes;Pezizales;Tuberaceae;Reddellomyces
Otu602,3,18,0,0,1,0,0,6,86,12,6,3,5,1,3,8,4,0,52,0,0,11,4,3,1,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,Eukaryota;Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella;Mortierella_alpina
Otu5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Eukaryota;Fungi;Ascomycota;Dothideomycetes;Hysteriales;Hysteriaceae;Rhytidhysteron
Otu3984,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Leotiomycetes;Helotiales;Helotiales_fam_Incertae_sedis;Chalara
Otu3379,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Sordariomycetes;Sordariales;Lasiosphaeriaceae
Otu5650,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Teichosporaceae;Teichospora
Otu5027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Leotiomycetes;Helotiales
Otu4165,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Sordariomycetes;Hypocreales
Otu5982,0,3,0,0,0,0,0,7,5,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eukaryota;Fungi;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma
Otu3194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Sebacinales
Otu5469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales
Otu3183,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae
Otu4296,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales
Otu5308,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales
Otu238,0,2,12,0,1,1,0,10,4,3,2,20,7,12,8,7,8,27,2,0,0,5,6,1,0,5,0,0,5,0,0,0,0,2,0,0,0,4,1,26,7,14,Eukaryota;Fungi;Mortierellomycota;Mortierellomycetes;Mortierellales;Mortierellaceae;Mortierella
Otu2166,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales
Otu3760,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales
Otu6426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Geastrales;Geastraceae;Geastrum;Geastrum_setiferum
Otu2693,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota
Otu4259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Clavariaceae;Camarophyllopsis
Otu6542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Agaricaceae;Tulostoma
Otu5187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Fungi;Ascomycota;Pezizomycetes
Otu249,5,1,5,2,5,0,10,0,2,2,56,2,60,0,0,1,5,28,27,6,1,4,2,1,14,1,4,0,4,0,4,1,4,2,1,390,28,6,4,0,0,6,Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus
