,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09,taxonomy
Otu27,8,18,2,19,3,18,3,6,5,92,1,28,7,15,575,21,27,3,8,7,59,41,0,17,0,13,0,36,0,11,0,7,0,4,8,1,6,11,10,5,8,4,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales
Otu867,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida
Otu1062,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,2,0,0,1,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Eukaryota
Otu814,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,2,0,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,Eukaryota;SAR;Rhizaria;Cercozoa
Otu2582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Chytridiomycota;Incertae Sedis;Chytridiomycetes
Otu485,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Enoplea;Dorylaimia;Dorylaimida
Otu695,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,2,0,0,3,0,1,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,46,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Arthropoda;Chelicerata;Arachnida;Acari
Otu1250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,2,0,0,0,0,0,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Conthreep
Otu2426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Eukaryota;SAR;Stramenopiles;Labyrinthulomycetes;Sorodiplophrys;uncultured eukaryote
Otu1101,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,4,3,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,1,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Capnodiales
Otu1657,2,7,12,9,21,2,10,16,2,4,6,3,1,3,2,2,11,2,5,1,1,10,0,2,0,0,0,1,1,0,5,0,3,14,2,2,0,22,12,10,21,17,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales
Otu899,0,1,15,5,9,1,2,4,0,0,15,131,3,0,0,3,1,0,2,0,0,0,1,1,0,1,1,0,0,2,0,2,1,4,0,1,1,0,16,5,1,9,Eukaryota;Opisthokonta;Nucletmycea;Fungi
Otu679,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,7,3,0,0,0,0,0,4,6,0,0,1,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia)
Otu1076,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,3,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Rhabditida
Otu2358,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Archaeplastida;Chloroplastida;Charophyta;Phragmoplastophyta;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta
Otu2610,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Chlorophyceae;uncultured Dunaliellaceae
Otu336,0,2,0,0,0,0,0,2,6,4,3,0,0,2,5,2,4,1,0,1,0,0,0,4,3,0,1,0,2,0,0,0,0,2,1,4,1,1,0,1,1,1,Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae;Cercomonas
Otu2619,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes
Otu2021,11,8,1,1,3,1,0,1,12,5,10,0,2,5,3,0,5,35,47,2,7,31,1,8,6,10,30,7,56,35,95,45,8,0,10,20,40,0,0,1,4,1,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Pleosporales
