,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09
Otu374,0,6,3,1,5,1,0,5,2,0,0,2,0,0,29,5,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,30,0,0,0,2,0,8,31,11
Otu1805,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Otu2614,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu2532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu2878,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1052,1,1,1,0,0,1,0,0,1,2,1,1,1,2,0,1,1,4,4,7,1,2,0,3,6,1,10,5,2,6,2,3,17,0,3,20,0,4,0,1,1,1
Otu1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Otu1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,4,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Otu3196,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu4,1,19,18,192,157,181,239,53,1,4,1,18,2,9,6,16,3,4,1,4,5,3,5,1,7,0,3,2,3,2,2,2,1,46,1,6,1,6,41,70,28,15
Otu1867,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Otu2711,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu1470,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,3,0,0,1,3,0,0,6,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu2394,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Otu2209,0,1,3,1,0,0,3,0,0,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1
Otu1184,0,0,1,0,0,1,0,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
